"Region","All_Filings_Total","All_Filings_Chapter_7","All_Filings_Chapter_11","All_Filings_Chapter_12","All_Filings_Chapter_13","Business_Filings_Total","Business_Filings_Chapter_7","Business_Filings_Chapter_11","Business_Filings_Chapter_12","Business_Filings_Chapter_13","Personal_Filings_Total","Personal_Filings_Chapter_7","Personal_Filings_Chapter_11","Personal_Filings_Chapter_13","Year","Percentage_of_Chapter_7_in_Business_Filings","Percentage_of_Chapter_11_in_Business_Filings","Percentage_of_Chapter_12_in_Business_Filings","Percentage_of_Chapter_13_in_Business_Filings","Percentage_of_Chapter_7_in_Personal_Filings","Percentage_of_Chapter_11_in_Personal_Filings","Percentage_of_Chapter_13_in_Personal_Filings"
"United States",1071932,728833,8980,395,333626,33212,22334,7660,395,2727,1038720,706499,1320,330899,2013,67.25,23.06,1.19,8.21,68.02,0.13,31.86
"MA",12562,9864,114,25,2559,435,288,78,25,44,12127,9576,36,2515,2013,66.21,17.93,5.75,10.11,78.96,0.3,20.74
"Barnstable County",576,407,8,1,160,21,13,5,1,2,555,394,3,158,2013,61.9,23.81,4.76,9.52,70.99,0.54,28.47
"Berkshire County",199,174,0,0,25,13,10,0,0,3,186,164,0,22,2013,76.92,0,0,23.08,88.17,0,11.83
"Bristol County",1519,1170,5,21,323,55,25,5,21,4,1464,1145,0,319,2013,45.45,9.09,38.18,7.27,78.21,0,21.79
"Dukes County",19,15,0,0,4,1,1,0,0,0,18,14,0,4,2013,100,0,0,0,77.78,0,22.22
"Essex County",1560,1249,10,0,301,43,32,7,0,4,1517,1217,3,297,2013,74.42,16.28,0,9.3,80.22,0.2,19.58
"Franklin County",143,134,0,0,9,2,2,0,0,0,141,132,0,9,2013,100,0,0,0,93.62,0,6.38
"Hampden County",916,795,3,0,118,25,18,3,0,4,891,777,0,114,2013,72,12,0,16,87.21,0,12.79
"Hampshire County",189,163,1,0,25,7,5,1,0,1,182,158,0,24,2013,71.43,14.29,0,14.29,86.81,0,13.19
"Middlesex County",2157,1747,23,0,387,84,61,15,0,8,2073,1686,8,379,2013,72.62,17.86,0,9.52,81.33,0.39,18.28
"Nantucket County",19,15,3,0,1,3,1,2,0,0,16,14,1,1,2013,33.33,66.67,0,0,87.5,6.25,6.25
"Norfolk County",1079,793,17,0,269,53,32,14,0,7,1026,761,3,262,2013,60.38,26.42,0,13.21,74.17,0.29,25.54
"Plymouth County",1285,872,12,2,399,49,32,9,2,6,1236,840,3,393,2013,65.31,18.37,4.08,12.24,67.96,0.24,31.8
"Suffolk County",973,725,21,0,227,30,20,9,0,1,943,705,12,226,2013,66.67,30,0,3.33,74.76,1.27,23.97
"Worcester County",1902,1585,9,1,307,45,33,7,1,4,1857,1552,2,303,2013,73.33,15.56,2.22,8.89,83.58,0.11,16.32
"United States",936795,619069,7234,361,310061,26983,18184,6093,360,2278,909812,600885,1141,307783,2014,67.39,22.58,1.33,8.44,66.04,0.13,33.83
"MA",10394,8113,102,16,2163,443,311,81,16,35,9951,7802,21,2128,2014,70.2,18.28,3.61,7.9,78.4,0.21,21.38
"Barnstable County",534,386,1,1,146,17,15,1,1,0,517,371,0,146,2014,88.24,5.88,5.88,0,71.76,0,28.24
"Berkshire County",169,155,0,0,14,17,14,0,0,3,152,141,0,11,2014,82.35,0,0,17.65,92.76,0,7.24
"Bristol County",1378,1059,9,11,299,47,27,8,11,1,1331,1032,1,298,2014,57.45,17.02,23.4,2.13,77.54,0.08,22.39
"Dukes County",17,11,0,0,6,2,2,0,0,0,15,9,0,6,2014,100,0,0,0,60,0,40
"Essex County",1292,998,14,0,280,60,41,12,0,7,1232,957,2,273,2014,68.33,20,0,11.67,77.68,0.16,22.16
"Franklin County",111,95,5,0,11,5,0,5,0,0,106,95,0,11,2014,0,100,0,0,89.62,0,10.38
"Hampden County",789,682,5,0,102,25,18,5,0,2,764,664,0,100,2014,72,20,0,8,86.91,0,13.09
"Hampshire County",175,160,3,0,12,9,6,3,0,0,166,154,0,12,2014,66.67,33.33,0,0,92.77,0,7.23
"Middlesex County",1676,1353,21,0,302,91,69,16,0,6,1585,1284,5,296,2014,75.82,17.58,0,6.59,81.01,0.32,18.68
"Nantucket County",10,6,0,0,4,1,1,0,0,0,9,5,0,4,2014,100,0,0,0,55.56,0,44.44
"Norfolk County",817,591,11,0,215,40,32,7,0,1,777,559,4,214,2014,80,17.5,0,2.5,71.94,0.51,27.54
"Plymouth County",1009,695,9,3,302,46,28,7,3,8,963,667,2,294,2014,60.87,15.22,6.52,17.39,69.26,0.21,30.53
"Suffolk County",786,606,10,0,170,23,19,4,0,0,763,587,6,170,2014,82.61,17.39,0,0,76.93,0.79,22.28
"Worcester County",1609,1302,11,0,296,50,33,10,0,7,1559,1269,1,289,2014,66,20,0,14,81.4,0.06,18.54
