"Municipal","F_year","Total.Budget","Residential","Open.Space","Commercial","Industrial","Personal.Property","Total.Levy","Inflation_Adjusted_Residential","Inflation_Adjusted_Open_Space","Inflation_Adjusted_Commercial","Inflation_Adjusted_Industrial","Inflation_Adjusted_Personal_Property","Inflation_Adjusted_Total_Levy"
"Abington",2003,32728571.75,14091729,0,1634200,203531,352540,16282000,17841125,0,2069013,257685,446341,20614162
"Abington",2004,33460683.07,16190475,0,1467471,199513,347702,18205161,19966567,0,1809728,246045,428796,22451137
"Abington",2005,35924152.51,17058536,0,1725512,234563,306809,19325420,20347698,0,2058219,279791,365967,23051674
"Abington",2006,39731412.16,17788540,0,1970248,258294,305607,20322689,20555382,0,2276702,298469,353141,23483694
"Abington",2007,43207964.11,19117571,0,2209809,251847,317854,21897081,21479353,0,2482808,282960,357122,24602243
"Abington",2008,43813673.18,19292140,0,2358395,265473,361778,22277786,20874020,0,2551774,287241,391442,24104477
"Abington",2009,47011532.36,21082103,0,2641578,303976,450619,24478276,22892198,0,2868382,330075,489309,26579964
"Abington",2010,43629169.5,21846515,0,2861285,304765,514680,25527245,23339411,0,3056813,325591,549851,27271666
"Abington",2011,44697691.23,22877359,0,3050037,310909,646622,26884927,23692827,0,3158756,321991,669671,27843246
"Abington",2012,46934186.06,23178847,0,3055774,321921,572770,27129312,23518361,0,3100534,326636,581160,27526691
"Abington",2013,47342153.62,23969410,0,3143844,338378,588912,28040544,23969410,0,3143844,338378,588912,28040544
"Acton",2003,57504888.41,36590043,0,3601992,1241819,486956,41920810,46325580,0,4560376,1572231,616521,53074707
"Acton",2004,64445851.97,40670679,0,3956132,1384771,689566,46701148,50156270,0,4878818,1707740,850393,57593220
"Acton",2005,68881312.47,42855278,0,3965401,1363670,734190,48918539,51118469,0,4729994,1626608,875754,58350825
"Acton",2006,68977826.55,48388760,0,4524519,1555226,590910,55059415,55915180,0,5228266,1797127,682821,63623394
"Acton",2007,72881896.74,50094321,0,5336154,1684866,604000,57719341,56282966,0,5995382,1893014,678618,64849980
"Acton",2008,77314915.73,51324892,0,5512885,1716493,718409,59272679,55533331,0,5964920,1857239,777316,64132806
"Acton",2009,80925052.3,53769049,0,5559306,1711118,968774,62008247,58385623,0,6036624,1858033,1051952,67332233
"Acton",2010,82498451.54,55769176,0,5497569,1675574,1110816,64053135,59580199,0,5873249,1790075,1186724,68430248
"Acton",2011,85551488.14,57398208,0,5590238,1644477,1192268,65825191,59444180,0,5789503,1703095,1234767,68171544
"Acton",2012,85484019.69,59085091,0,5550450,1703587,1211627,67550755,59950546,0,5631751,1728540,1229374,68540211
"Acton",2013,87895061.29,61275263,0,5976485,1798426,1220951,70271125,61275263,0,5976485,1798426,1220951,70271125
"Acushnet",2003,21492265.63,8290981,0,387661,339835,298013,9316490,10496968,0,490806,430255,377306,11795335
"Acushnet",2004,22907878.24,8921375,0,439919,533639,260430,10155363,11002100,0,542521,658099,321170,12523890
"Acushnet",2005,23457794.08,9596142,0,366034,460488,223603,10646267,11446433,0,436611,549278,266717,12699040
"Acushnet",2006,24820766.66,9980913,0,360231,375565,198610,10915319,11533351,0,416262,433981,229502,12613095
"Acushnet",2007,25624194.86,10585823,0,369414,361552,196150,11512939,11893594,0,415051,406218,220382,12935246
"Acushnet",2008,26875499.36,10798074,0,387632,380351,230513,11796570,11683474,0,419416,411538,249414,12763842
"Acushnet",2009,27279303.8,11164636,0,404891,391876,294224,12255627,12123224,0,439655,425522,319486,13307887
"Acushnet",2010,26539461.28,11551731,0,430929,366522,335047,12684229,12341126,0,460377,391569,357943,13551014
"Acushnet",2011,27040316.62,11872193,0,453670,373037,373841,13072741,12295380,0,469841,386334,387167,13538722
"Acushnet",2012,27701330.09,12200222,0,491871,387385,447308,13526786,12378926,0,499076,393059,453860,13724921
"Acushnet",2013,28262209.72,12517607,0,529951,409139,498326,13955023,12517607,0,529951,409139,498326,13955023
"Adams",2003,11292756.47,4485390,0,584414,407101,324636,5801541,5678821,0,739909,515419,411012,7345161
"Adams",2004,11552610.91,4707412,0,597274,427333,335317,6067336,5805318,0,736576,527000,413523,7482416
"Adams",2005,12262738.2,5148537,0,621609,438033,337397,6545576,6141258,0,741465,522493,402453,7807669
"Adams",2006,12702231.65,5268654,0,646356,449674,311044,6675728,6088144,0,746891,519617,359424,7714075
"Adams",2007,13518883.1,5798557,0,706922,497501,346773,7349753,6514910,0,794255,558962,389613,8257740
"Adams",2008,13332857.05,5985232,0,666702,521904,341251,7515089,6475998,0,721369,564698,369232,8131297
"Adams",2009,14158695.69,6291215,0,692019,545259,429347,7957840,6831374,0,751435,592075,466210,8641095
"Adams",2010,13690519.94,6290748,0,625539,499283,396873,7812443,6720630,0,668286,533402,423994,8346311
"Adams",2011,13437737.3,6616422,0,648160,523077,410307,8197966,6852266,0,671264,541722,424932,8490184
"Adams",2012,13056942.29,7082262,0,695169,566323,452072,8795826,7186000,0,705352,574618,458694,8924664
"Adams",2013,13596816.38,7029068,0,709379,565641,467335,8771423,7029068,0,709379,565641,467335,8771423
"Agawam",2003,64099999.3,19694097,0,4249884,6645206,2605508,33194695,24934118,0,5380653,8413300,3298757,42026829
"Agawam",2004,64047815.26,21138113,0,4465889,5966605,3611218,35181825,26068139,0,5507465,7358192,4453460,43387255
"Agawam",2005,66210859.23,22530691,0,5610169,6156878,3671606,37969344,26874973,0,6691900,7344024,4379551,45290448
"Agawam",2006,70524557.13,23466856,0,6203753,6632569,3100473,39403651,27116907,0,7168689,7664203,3582723,45532521
"Agawam",2007,74304342.13,25234456,0,6100445,6565265,2974145,40874311,28351917,0,6854093,7376337,3341570,45923917
"Agawam",2008,77666007.27,26298504,0,6143989,6629662,3010887,42083042,28454878,0,6647772,7173268,3257768,45533686
"Agawam",2009,80528424.6,27624866,0,6226323,6030292,2740846,42622327,29996718,0,6760911,6548049,2976173,46281851
"Agawam",2010,80578879.02,28786614,0,6435977,6236613,2802625,44261829,30753766,0,6875784,6662796,2994144,47286490
"Agawam",2011,81642942.78,29881875,0,6454974,6273258,2994978,45605085,30947021,0,6685063,6496870,3101735,47230688
"Agawam",2012,84000550.14,30887173,0,6688174,6243820,3314339,47133506,31339596,0,6786140,6335277,3362886,47823899
"Agawam",2013,90634593.67,32014931,0,6826799,5985464,5231141,50058335,32014931,0,6826799,5985464,5231141,50058335
"Alford",2003,974340.96,787670,0,10960,140,15272,814042,997246,0,13876,177,19335,1030635
"Alford",2004,1024945.29,817595,0,9660,140,19996,847391,1008282,0,11913,173,24660,1045027
"Alford",2005,1231546.18,868642,0,9432,0,16564,894638,1036130,0,11251,0,19758,1067139
"Alford",2006,1040390.55,900134,0,9342,136,17126,926738,1040141,0,10795,157,19790,1070883
"Alford",2007,1121606.96,941894,0,9144,137,20540,971715,1058255,0,10274,154,23078,1091761
"Alford",2008,1356563.57,988956,0,9814,113,14704,1013587,1070047,0,10619,122,15910,1096697
"Alford",2009,1231996,1036495,0,8861,117,17525,1062998,1125488,0,9622,127,19030,1154266
"Alford",2010,1346364.7,1093136,0,9233,124,18486,1120979,1167836,0,9864,132,19749,1197582
"Alford",2011,1466647.38,1066414,0,8840,118,16154,1091526,1104427,0,9155,122,16730,1130434
"Alford",2012,1419387.72,1105551,0,7031,121,16660,1129363,1121745,0,7134,123,16904,1145905
"Alford",2013,1277315.26,1116095,0,6967,131,16826,1140019,1116095,0,6967,131,16826,1140019
"Amesbury",2003,44676119.52,19756264,0,1949704,1435018,603745,23744731,25012826,0,2468463,1816834,764384,30062507
"Amesbury",2004,46504281.67,21416434,0,1974932,1353037,556162,25300565,26411372,0,2435544,1668605,685875,31201396
"Amesbury",2005,47357904.01,22398003,0,1820710,1231114,455740,25905567,26716700,0,2171772,1468493,543614,30900579
"Amesbury",2006,50484926.46,23970672,0,1830194,1244569,440695,27486130,27699086,0,2114864,1438150,509241,31761341
"Amesbury",2007,50933052.23,24279176,0,2070861,1529001,480759,28359797,27278622,0,2326695,1717894,540152,31863362
"Amesbury",2008,54610148.18,25738160,0,2571805,1747007,550012,30606984,27848588,0,2782683,1890255,595111,33116636
"Amesbury",2009,55843673.69,28053569,0,2411931,1603404,614549,32683453,30462229,0,2619018,1741071,667314,35489632
"Amesbury",2010,55951772.67,29007565,0,2557154,1690962,642237,33897918,30989816,0,2731899,1806515,686125,36214354
