"Municipal","County","State","Region","Year","Unemployment_Rate_Avg","No_Unemployed_Avg","No_Employed_Avg","No_Labor_Avg"
NA,"NA County","MA","MA",1990,6.3,203975,3022393,3226368
NA,"NA County","MA","MA",1991,8.8,282590,2916293,3198883
NA,"NA County","MA","MA",1992,8.8,281022,2899718,3180740
NA,"NA County","MA","MA",1993,7.3,232339,2940565,3172904
NA,"NA County","MA","MA",1994,6.2,198690,2989123,3187813
NA,"NA County","MA","MA",1995,5.5,175528,3029360,3204888
NA,"NA County","MA","MA",1996,4.6,147721,3083332,3231053
NA,"NA County","MA","MA",1997,4.1,134564,3158851,3293415
NA,"NA County","MA","MA",1998,3.4,112674,3208988,3321662
NA,"NA County","MA","MA",1999,3.3,109563,3245761,3355324
NA,"NA County","MA","MA",2000,2.7,92292,3273281,3365573
NA,"NA County","MA","MA",2001,3.7,125993,3275343,3401336
NA,"NA County","MA","MA",2002,5.3,181003,3243409,3424412
NA,"NA County","MA","MA",2003,5.8,197648,3209062,3406710
NA,"NA County","MA","MA",2004,5.2,176839,3203810,3380649
NA,"NA County","MA","MA",2005,4.8,163579,3219717,3383296
NA,"NA County","MA","MA",2006,4.8,162495,3255504,3417999
NA,"NA County","MA","MA",2007,4.5,154422,3276532,3430954
NA,"NA County","MA","MA",2008,5.3,185177,3277934,3463111
NA,"NA County","MA","MA",2009,8.2,283193,3187538,3470731
NA,"NA County","MA","MA",2010,8.3,287549,3187622,3475171
NA,"NA County","MA","MA",2011,7.3,253592,3216160,3469752
NA,"NA County","MA","MA",2012,6.7,233684,3241762,3475446
